Order Date,total_sales,total_profit,sales_lag_1,profit_lag_1,sales_lag_2,profit_lag_2,sales_lag_3,profit_lag_3,sales_rolling_3,profit_rolling_3
2014-04-01,28295.345,3488.8352,55691.009,498.7298999999999,4519.892,862.3084,14236.895,2450.1907,24815.932,1270.4096666666667
2014-05-01,23648.287,2738.7096,28295.345,3488.8352,55691.009,498.7298999999999,4519.892,862.3084,29502.081999999995,1616.6245
2014-06-01,34595.1276,4976.5244,23648.287,2738.7096,28295.345,3488.8352,55691.009,498.7298999999999,35878.21366666667,2242.0915666666665
2014-07-01,33946.393,-841.4826,34595.1276,4976.5244,23648.287,2738.7096,28295.345,3488.8352,28846.253199999996,3734.689733333333
2014-08-01,27909.4685,5318.105,33946.393,-841.4826,34595.1276,4976.5244,23648.287,2738.7096,30729.935866666663,2291.250466666667
2014-09-01,81777.3508,8328.0994,27909.4685,5318.105,33946.393,-841.4826,34595.1276,4976.5244,32150.3297,3151.048933333333
2014-10-01,31453.393,3448.2573,81777.3508,8328.0994,27909.4685,5318.105,33946.393,-841.4826,47877.73743333333,4268.240599999999
2014-11-01,78628.7167,9292.1269,31453.393,3448.2573,81777.3508,8328.0994,27909.4685,5318.105,47046.73743333333,5698.153899999998
2014-12-01,69545.6205,8983.5699,78628.7167,9292.1269,31453.393,3448.2573,81777.3508,8328.0994,63953.15349999999,7022.827866666666
2015-01-01,18174.0756,-3281.007,69545.6205,8983.5699,78628.7167,9292.1269,31453.393,3448.2573,59875.91006666666,7241.318033333332
2015-02-01,11951.411,2813.8508,18174.0756,-3281.007,69545.6205,8983.5699,78628.7167,9292.1269,55449.47093333333,4998.229933333332
2015-03-01,38726.252,9732.097800000001,11951.411,2813.8508,18174.0756,-3281.007,69545.6205,8983.5699,33223.702366666665,2838.804566666666
2015-04-01,34195.2085,4187.4962,38726.252,9732.097800000001,11951.411,2813.8508,18174.0756,-3281.007,22950.579533333326,3088.313866666666
2015-05-01,30131.6865,4667.869,34195.2085,4187.4962,38726.252,9732.097800000001,11951.411,2813.8508,28290.95716666666,5577.814933333332
2015-06-01,24797.292,3335.5572,30131.6865,4667.869,34195.2085,4187.4962,38726.252,9732.097800000001,34351.04899999999,6195.820999999999
2015-07-01,28765.325,3288.6483,24797.292,3335.5572,30131.6865,4667.869,34195.2085,4187.4962,29708.06233333333,4063.6407999999988
2015-08-01,36898.3322,5355.8084,28765.325,3288.6483,24797.292,3335.5572,30131.6865,4667.869,27898.10116666666,3764.0248333333316
2015-09-01,64595.918,8209.162699999999,36898.3322,5355.8084,28765.325,3288.6483,24797.292,3335.5572,30153.64973333333,3993.3379666666656
2015-10-01,31404.9235,2817.366,64595.918,8209.162699999999,36898.3322,5355.8084,28765.325,3288.6483,43419.8584,5617.873133333332
2015-11-01,75972.5635,12474.7884,31404.9235,2817.366,64595.918,8209.162699999999,36898.3322,5355.8084,44299.724566666664,5460.779033333331
2015-12-01,74919.5212,8016.965899999999,75972.5635,12474.7884,31404.9235,2817.366,64595.918,8209.162699999999,57324.46833333332,7833.772366666664
