Customer ID,Recency,Frequency,Monetary,Profit,Quantity,Cluster,Segment
AA-10315,185,5,5563.56,-362.8825,30,0,Low Value
AA-10375,20,9,1056.39,277.3824,41,3,Regular
AA-10480,260,4,1790.5120000000002,435.8274,36,0,Low Value
AA-10645,56,6,5086.9349999999995,857.8033,64,3,Regular
AB-10015,416,3,886.156,129.3465,13,1,At-Risk
AB-10060,55,8,7755.62,2054.5885,56,2,High Value
AB-10105,42,10,14473.570999999998,5444.8055,73,2,High Value
AB-10150,42,5,966.71,313.6597,37,0,Low Value
AB-10165,26,8,1113.838,220.813,48,3,Regular
AB-10255,167,9,914.5319999999999,264.5675,39,3,Regular
AB-10600,51,4,1515.862,-274.9604,38,0,Low Value
AC-10420,233,3,925.8,-62.1342,17,0,Low Value
AC-10450,12,7,5527.846,1366.0098,43,3,Regular
AC-10615,7,5,2537.6859999999997,298.8273,59,0,Low Value
AC-10660,283,5,657.316,-28.700399999999995,16,0,Low Value
AD-10180,30,8,6106.88,1869.9294,40,2,High Value
AF-10870,42,7,2052.908,317.9712,51,3,Regular
AF-10885,416,4,861.565,-163.1175,37,1,At-Risk
AG-10270,279,5,2582.898,732.7399,58,0,Low Value
AG-10300,119,4,367.548,59.288399999999996,16,0,Low Value
AG-10330,9,5,660.972,-5.137100000000006,47,0,Low Value
AG-10390,115,5,200.945,69.2784,33,0,Low Value
AG-10495,79,8,2356.855,295.6668,93,3,Regular
AG-10525,846,4,1455.038,-152.7613,33,1,At-Risk
AG-10675,98,7,3489.0396000000005,-246.42570000000003,54,3,Regular
AG-10765,78,4,170.584,-8.431000000000001,20,0,Low Value
AG-10900,97,10,4510.797,343.6824,92,3,Regular
AH-10030,13,7,1744.7,365.2152,54,3,Regular
AH-10075,35,10,3250.337,281.189,75,3,Regular
AH-10120,61,7,1735.5140000000001,-2.3145999999999773,65,3,Regular
AH-10195,56,4,1587.452,-378.5509,28,0,Low Value
AH-10210,7,9,4805.344,1308.5546,53,3,Regular
AH-10465,231,5,2495.3916,-196.12009999999998,35,0,Low Value
AH-10585,22,4,738.504,83.96300000000001,17,0,Low Value
AH-10690,411,12,7888.294,1298.0166,102,2,High Value
