Order ID,Order Date,Product Name,Sales,Profit,Quantity,Discount,Anomaly_Score
CA-2016-117121,2016-12-17,GBC Ibimaster 500 Manual ProClick Binding System,9892.74,4946.37,13,0.0,-0.1515503041302365
CA-2015-116638,2015-01-28,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,4297.644,-1862.3124,13,0.4,-0.13724733070531125
US-2017-168116,2017-11-04,Cubify CubeX 3D Printer Triple Head Print,7999.98,-3839.9904,4,0.5,-0.12767472038685967
CA-2014-145317,2014-03-18,Cisco TelePresence System EX90 Videoconferencing Unit,22638.48,-1811.0784,6,0.5,-0.12461106102054864
CA-2017-140151,2017-03-23,Canon imageCLASS 2200 Advanced Copier,13999.96,6719.9808,4,0.0,-0.12449772714679042
CA-2016-108196,2016-11-25,Cubify CubeX 3D Printer Double Head Print,4499.985,-6599.978,5,0.7,-0.12343677889497873
CA-2017-166709,2017-11-17,Canon imageCLASS 2200 Advanced Copier,10499.97,5039.9856,3,0.0,-0.12245448486022092
CA-2016-118689,2016-10-02,Canon imageCLASS 2200 Advanced Copier,17499.95,8399.976,5,0.0,-0.12010290795022571
CA-2014-139892,2014-09-08,Lexmark MX611dhe Monochrome Laser Printer,8159.952,-1359.992,8,0.4,-0.11975190276743419
US-2016-140158,2016-10-04,Hewlett Packard LaserJet 3310 Copier,5399.91,2591.9568,9,0.0,-0.11805783301133776
US-2016-107440,2016-04-16,"3D Systems Cube Printer, 2nd Generation, Magenta",9099.93,2365.9818,7,0.0,-0.11766538865918119
CA-2014-116904,2014-09-23,Ibico EPK-21 Electric Binding System,9449.95,4630.4755,5,0.0,-0.1169765181321134
CA-2017-127180,2017-10-22,Canon imageCLASS 2200 Advanced Copier,11199.968,3919.9888,4,0.2,-0.11511288084333526
CA-2016-158841,2016-02-02,"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",8749.95,2799.984,5,0.0,-0.11464004058123578
CA-2014-169019,2014-07-26,GBC DocuBind P400 Electric Binding System,2177.584,-3701.8928,8,0.8,-0.11262556896238507
CA-2015-145352,2015-03-16,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,6354.95,3177.475,5,0.0,-0.10461209179440623
CA-2017-138289,2017-01-16,GBC DocuBind P400 Electric Binding System,5443.96,2504.2216,4,0.0,-0.10369264989612437
CA-2014-145541,2014-12-14,"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",6999.96,2239.9872,4,0.0,-0.10341300627631567
CA-2017-134845,2017-04-17,Lexmark MX611dhe Monochrome Laser Printer,2549.985,-3399.98,5,0.7,-0.10245794313002621
US-2016-143819,2016-03-01,Ativa V4110MDD Micro-Cut Shredder,4899.93,2400.9657,7,0.0,-0.10242947693991922
US-2015-128587,2015-12-24,Canon PC1060 Personal Laser Copier,4899.93,2302.9671,7,0.0,-0.09988295811801806
CA-2015-147830,2015-12-15,Cubify CubeX 3D Printer Double Head Print,1799.994,-2639.9912,2,0.7,-0.09910416571037928
CA-2014-164973,2014-11-04,Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier,3991.98,1995.99,2,0.0,-0.0990676535701771
US-2017-122714,2017-12-07,Ibico EPK-21 Electric Binding System,1889.99,-2929.4845,5,0.8,-0.09825439285453952
CA-2016-143714,2016-05-23,Canon imageCLASS 2200 Advanced Copier,8399.976,1119.9968,4,0.4,-0.09627019739141629
CA-2015-114811,2015-11-08,Zebra ZM400 Thermal Label Printer,4643.8,2229.024,4,0.0,-0.09457937859575583
